Year,Month,Day,DNI Mean,DNI Max,DNI Min,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temp Max,Temp Min,Temperature,Pressure,Power Consumption,Weekday,University Name,Building Name,Square Feet,Type
2019,9,8,744.9615384615385,943,40,3.284615384615385,1.546153846153846,288.38461538461536,58.70000000000001,24.3,13.8,20.784615384615385,995.5,694.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,9,9,709.3461538461538,925,18,3.746153846153846,1.6384615384615384,284.46153846153845,60.6703846153846,24.7,14.2,20.830769230769228,993.3846153846154,697.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,9,10,714.0384615384615,928,14,2.896153846153846,1.6615384615384623,280.38461538461536,58.86692307692307,23.7,13.9,20.457692307692312,992.7692307692307,699.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,9,11,718.9615384615385,932,18,1.7346153846153844,1.6115384615384618,204.96153846153845,47.169230769230765,27.4,14.3,23.423076923076923,997.0384615384615,611.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,9,12,760.04,940,137,0.8999999999999999,1.4239999999999997,161.12,38.01639999999999,32.0,15.5,26.719999999999995,996.52,416.0,1,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,9,13,757.8,948,128,1.344,1.0480000000000003,196.4,27.917199999999998,33.2,17.6,28.164,995.16,418.0,1,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,9,14,787.04,966,137,2.492,0.9559999999999998,264.2,48.1216,28.0,16.2,23.916,993.56,437.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,9,15,654.08,952,108,4.048000000000001,1.372,267.12,70.76759999999999,21.5,14.5,19.096,992.04,438.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,9,16,631.7916666666666,882,2,3.3125,1.879166666666667,283.0416666666667,62.84,21.8,16.0,19.266666666666666,994.5416666666666,456.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,9,17,764.32,953,105,2.2239999999999998,1.352,283.84,51.50800000000001,23.9,12.9,20.428,997.04,485.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,9,18,264.5833333333333,760,2,3.3375,2.1083333333333334,274.6666666666667,67.96708333333332,21.7,16.4,19.887500000000003,994.2916666666666,469.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,9,19,760.48,965,97,1.8160000000000003,1.524,302.64,51.78159999999999,24.0,13.0,20.843999999999998,994.2,411.0,1,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,9,20,728.32,930,60,2.12,1.8479999999999996,215.8,41.8192,26.4,15.0,23.035999999999998,994.12,411.0,1,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,9,21,760.08,956,99,1.8440000000000003,1.4959999999999996,200.88,38.2376,28.3,15.9,24.284000000000002,993.56,430.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
